run_id,product_id,material_type,engine,time_of_day_label,temperature_label,repetition_id,trap_flag,output_path,status,started_at,completed_at,model,prompt_tokens,completion_tokens,total_tokens,finish_reason
a96e36faf2df9e10cc964d0cc2dfebda5e8af3b5,smartphone_mid,digital_ad.j2,mistral,afternoon,0.2,1,False,outputs/a96e36faf2df9e10cc964d0cc2dfebda5e8af3b5.txt,completed,,,,0,0,0,
866176888adaa5e22a2b52fedc99ae5d48db1129,smartphone_mid,digital_ad.j2,openai,afternoon,0.2,2,False,outputs/866176888adaa5e22a2b52fedc99ae5d48db1129.txt,completed,,,,0,0,0,
534c97fb056c30b2a0fb4f32244a279f9a9839d1,smartphone_mid,digital_ad.j2,google,afternoon,0.2,2,False,outputs/534c97fb056c30b2a0fb4f32244a279f9a9839d1.txt,completed,,,,0,0,0,
8f3abc4d21b2b160b0d317a3a94cc689dbaa58e2,smartphone_mid,digital_ad.j2,mistral,afternoon,0.2,2,False,outputs/8f3abc4d21b2b160b0d317a3a94cc689dbaa58e2.txt,completed,,,,0,0,0,
a3e98e8285c303720c1d2df2740b06756280b2f8,smartphone_mid,digital_ad.j2,openai,afternoon,0.2,3,False,outputs/a3e98e8285c303720c1d2df2740b06756280b2f8.txt,completed,,,,0,0,0,
33b9fd7bc16eee65fe68cb71b3430a2cdeb92ab2,smartphone_mid,digital_ad.j2,google,afternoon,0.2,3,False,outputs/33b9fd7bc16eee65fe68cb71b3430a2cdeb92ab2.txt,completed,,,,0,0,0,
f7fbb1a16e302f93036ff0bbe50f0caf488567e2,smartphone_mid,digital_ad.j2,mistral,afternoon,0.2,3,False,outputs/f7fbb1a16e302f93036ff0bbe50f0caf488567e2.txt,completed,,,,0,0,0,
44bb43c8f45d994a7adae7e6cf02f4786f733f86,smartphone_mid,digital_ad.j2,openai,afternoon,0.6,1,False,outputs/44bb43c8f45d994a7adae7e6cf02f4786f733f86.txt,completed,,,,0,0,0,
b845025f1a45a03409b8e7e1947b778b628ea61b,smartphone_mid,digital_ad.j2,google,afternoon,0.6,1,False,outputs/b845025f1a45a03409b8e7e1947b778b628ea61b.txt,completed,,,,0,0,0,
98484d2b5c5b82995662d19aa22788868534474c,smartphone_mid,digital_ad.j2,mistral,afternoon,0.6,1,False,outputs/98484d2b5c5b82995662d19aa22788868534474c.txt,completed,,,,0,0,0,
9f834fc162d7ddea20b58c93aeb90a8dd7c807d1,smartphone_mid,digital_ad.j2,openai,afternoon,0.6,2,False,outputs/9f834fc162d7ddea20b58c93aeb90a8dd7c807d1.txt,completed,,,,0,0,0,
900aa15ac12c86ec5ef837c5a292c442a5fd1797,smartphone_mid,digital_ad.j2,google,afternoon,0.6,2,False,outputs/900aa15ac12c86ec5ef837c5a292c442a5fd1797.txt,completed,,,,0,0,0,
31e00e0ae3e722d2cb1e1316f74a776e83391c5f,smartphone_mid,digital_ad.j2,mistral,afternoon,0.6,2,False,outputs/31e00e0ae3e722d2cb1e1316f74a776e83391c5f.txt,completed,,,,0,0,0,
b2e7e2050dab2188555de8da5ca6852ba59acea1,smartphone_mid,digital_ad.j2,openai,afternoon,0.6,3,False,outputs/b2e7e2050dab2188555de8da5ca6852ba59acea1.txt,completed,,,,0,0,0,
9028447d5cbb32e02e8ac56e3ca1612e97da7438,smartphone_mid,digital_ad.j2,google,afternoon,0.6,3,False,outputs/9028447d5cbb32e02e8ac56e3ca1612e97da7438.txt,completed,,,,0,0,0,
a7b40393152e06e516bff4ab93a9e51f1f675820,smartphone_mid,digital_ad.j2,mistral,afternoon,0.6,3,False,outputs/a7b40393152e06e516bff4ab93a9e51f1f675820.txt,completed,,,,0,0,0,
d11fb31aec8d6b7577e79c7fcbdc36af507cf069,smartphone_mid,digital_ad.j2,openai,afternoon,1.0,1,False,outputs/d11fb31aec8d6b7577e79c7fcbdc36af507cf069.txt,completed,,,,0,0,0,
2e598cff392bb8fc01dd41a5f174b9d912a4e288,smartphone_mid,digital_ad.j2,google,afternoon,1.0,1,False,outputs/2e598cff392bb8fc01dd41a5f174b9d912a4e288.txt,completed,,,,0,0,0,
346414b6f5062116373c7942a300aee92b643dfa,smartphone_mid,digital_ad.j2,mistral,afternoon,1.0,1,False,outputs/346414b6f5062116373c7942a300aee92b643dfa.txt,completed,,,,0,0,0,
66b550797ebede94fea06cd5d020a18e718d238a,smartphone_mid,digital_ad.j2,openai,afternoon,1.0,2,False,outputs/66b550797ebede94fea06cd5d020a18e718d238a.txt,completed,,,,0,0,0,
4c1e887a2ec606b2c129993e2e28e34e08f07d12,smartphone_mid,digital_ad.j2,google,afternoon,1.0,2,False,outputs/4c1e887a2ec606b2c129993e2e28e34e08f07d12.txt,completed,,,,0,0,0,
e6487ac9f42c93992bb052e80b36be998ff4426d,smartphone_mid,digital_ad.j2,mistral,afternoon,1.0,2,False,outputs/e6487ac9f42c93992bb052e80b36be998ff4426d.txt,completed,,,,0,0,0,
acedbd2e990ac104905e5f786154996baa98b456,smartphone_mid,digital_ad.j2,openai,afternoon,1.0,3,False,outputs/acedbd2e990ac104905e5f786154996baa98b456.txt,completed,,,,0,0,0,
0a583befeb5761c89fed3c66448ab7793fad09d3,smartphone_mid,digital_ad.j2,google,afternoon,1.0,3,False,outputs/0a583befeb5761c89fed3c66448ab7793fad09d3.txt,completed,,,,0,0,0,
cebc06fd7b77cf9b96ef55e20da3b8a9d3014768,smartphone_mid,digital_ad.j2,mistral,afternoon,1.0,3,False,outputs/cebc06fd7b77cf9b96ef55e20da3b8a9d3014768.txt,completed,,,,0,0,0,
